gpu,arm,probe,dtype,size,direction,kind,causal,flops,ms,n_cards
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp16,q512k512h32/4d80,fwd_bwd,,True,8053063680.0,0.7312586704889934,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp16,q512k512h8/1d80,fwd,,False,10737418240.0,0.4124672174453735,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp16,q512k512h8/1d80,fwd,,True,5368709120.0,0.2565631985664368,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp16,q512k512h8/1d80,fwd_bwd,,False,32212254720.0,1.9100160002708435,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp16,q512k512h8/1d80,fwd_bwd,,True,16106127360.0,1.3957120180130005,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp16,q512k512h8/4d80,fwd,,False,5368709120.0,0.2125823974609375,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp16,q512k512h8/4d80,fwd_bwd,,False,16106127360.0,0.9848639965057373,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp16,q512k512h8/4d80,fwd_bwd,,True,8053063680.0,0.7460906902949015,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp16,q512k512h8/8d128,fwd_bwd,,False,6442450944.0,0.3537066578865051,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp16,q512k512h9/3d64,fwd,,False,2415919104.0,0.08570569663336783,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp16,q512k512h9/3d64,fwd,,True,1207959552.0,0.06847028773406456,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp16,q512k512h9/3d64,fwd_bwd,,False,7247757312.0,0.3917653361956278,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp16,q512k512h9/3d64,fwd_bwd,,True,3623878656.0,0.32117027895791195,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp16,q577k577h12/12d64,fwd,,False,16364126208.0,0.6470655918121337,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp16,q577k577h12/12d64,fwd,,True,8182063104.0,0.4291584014892578,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp16,q577k577h12/12d64,fwd_bwd,,False,49092378624.0,2.7363840341567993,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp16,q577k577h12/12d64,fwd_bwd,,True,24546189312.0,1.9069439768791199,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp32,q1024k1024h12/12d64,fwd,,False,25769803776.0,6.073955345153808,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp32,q1024k1024h12/12d64,fwd,,True,12884901888.0,3.3861631393432616,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp32,q1024k1024h12/12d64,fwd_bwd,,False,77309411328.0,24.09395122528076,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp32,q1024k1024h12/12d64,fwd_bwd,,True,38654705664.0,13.18933629989624,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp32,q1024k1024h16/16d64,fwd,,False,8589934592.0,2.065049552917481,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp32,q1024k1024h16/16d64,fwd_bwd,,False,25769803776.0,8.25497579574585,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp32,q1024k1024h16/16d64,fwd_bwd,,True,12884901888.0,4.58137583732605,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp32,q128k128h32/8d128,fwd_bwd,,False,12884901888.0,4.013823986053467,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp32,q128k128h32/8d128,fwd_bwd,,True,6442450944.0,4.183552026748657,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp32,q197k197h12/12d64,fwd,,False,1907539968.0,0.7394719839096069,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp32,q197k197h12/12d64,fwd,,True,953769984.0,0.49724318981170657,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp32,q197k197h12/12d64,fwd_bwd,,False,5722619904.0,2.993664026260376,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp32,q197k197h12/12d64,fwd_bwd,,True,2861309952.0,1.9875839948654175,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp32,q197k197h16/1d128,fwd,,False,5086773248.0,1.7554944038391114,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp32,q197k197h16/1d128,fwd_bwd,,False,15260319744.0,4.125184059143066,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp32,q197k197h16/1d128,fwd_bwd,,True,7630159872.0,4.322279930114746,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp32,q197k197h32/32d80,fwd_bwd,,False,4768849920.0,3.290112018585205,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp32,q2048k2048h12/12d64,fwd,,False,103079215104.0,24.77813720703125,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp32,q2048k2048h12/12d64,fwd,,True,51539607552.0,13.01138687133789,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp32,q2048k2048h12/12d64,fwd_bwd,,False,309237645312.0,95.84307479858398,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp32,q2048k2048h12/12d64,fwd_bwd,,True,154618822656.0,50.16192054748535,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp32,q2048k2048h32/8d128,fwd,,False,137438953472.0,29.13454132080078,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp32,q2048k2048h32/8d128,fwd,,True,68719476736.0,36.552755737304686,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp32,q2048k2048h32/8d128,fwd_bwd,,False,412316860416.0,71.87506866455078,18
